Station,GWh_year_km2,km2_supply_Ireland,km2_supply_resid
M1,880,20.70681818,9.044318182
M2,96,189.8125,82.90625
M3,1018,17.89980354,7.81827112
M4,882,20.65986395,9.023809524
M6,1206,15.10945274,6.599502488
FS1,227,80.27312775,35.06167401
