atmosphericpressure,winddirection,windspeed,gust,waveheight,waveperiod,meanwavedirection,hmax,airtemperature,dewpoint,seatemperature,salinity,relativehumidity,date
1012.469359419753,109.4165492822408,3.96954256445882,6.137145370972747,2.7713347209892234,8.522792926175782,249.31186276986827,2.8849654153942326,14.160683023882042,61081215.54861091,16.348394916354483,34.72607957226542,86.75310056547546,2014-08-06
1012.5993161766912,110.84300505524126,4.021293208619944,6.217154898796416,2.7658340780351076,8.523113082894842,249.3316683311761,2.880567730406861,14.138230569691622,61283913.157480024,16.335207689613913,34.70833841391134,86.72065965312935,2014-08-07
1012.7312656559999,112.2687781864978,4.0730190870991265,6.297126137424837,2.7603124228635694,8.52342768020432,249.35115361411496,2.8762015352853947,14.116680784749779,61487058.70425149,16.321741218093894,34.69018798828125,86.68696128846513,2014-08-08
1012.8651492481974,113.69364112876247,4.124711944669052,6.377046323792929,2.7547697154918174,8.523736766687115,249.37032118839264,2.871866989876871,14.096004688508492,61690652.68332362,16.307997736399543,34.67162968272185,86.65198347318074,2014-08-09
1013.0009083438023,115.11736633478726,4.176363526102406,6.456902694835608,2.749205915937061,8.524040390926135,249.38917362371683,2.8675642540283244,14.076173300419738,61894695.589094765,16.29397947913599,34.65266488457983,86.61570420897404,2014-08-10
1013.1384843333332,116.53972625732422,4.227965576171876,6.536682487487793,2.743620984216509,8.524338601504281,249.40771348979507,2.8632934875867884,14.057157639935486,62099187.9159632,16.279688680908365,34.633294981201885,86.57810149754293,2014-08-11
1013.2778186073085,117.96049334912536,4.279509839650146,6.6163729386844015,2.7380148803473716,8.524631447004452,249.4259433563351,2.8590548503993007,14.038928726507713,62304130.158327304,16.265127576321778,34.61352135993473,86.53915334058533,2014-08-12
1013.4188525562467,119.3794400629427,4.330988061309903,6.695961285360354,2.732387564346857,8.524918976009548,249.44386579304444,2.854848502312893,14.021457579588393,62509522.81058535,16.25029839998136,34.593345408125046,86.4988377397991,2014-08-13
1013.5615275706665,120.7963388515283,4.382391985923834,6.775434764450564,2.726738996232174,8.525201237102475,249.46148336963097,2.8506746031746037,14.004715218629501,62715366.367135696,16.23520338649224,34.572768513119534,86.45713269688216,2014-08-14
1013.7057850410864,122.2109621676342,4.433713358264624,6.85478061288995,2.7210691360205335,8.525478278866132,249.47879865580228,2.846533312831466,13.988672663083014,62921661.32237663,16.219844770459538,34.5517920622649,86.41401621353239,2014-08-15
1013.8515663580246,123.62308246401238,4.484943923104957,6.9339860676134295,2.715377943729142,8.525750149883422,249.495814221266,2.8424247911305156,13.973300932400903,63128408.1707065,16.204224786488375,34.53041744290785,86.3694662914477,2014-08-16
1013.9988129119998,125.03247219341488,4.536075425217521,7.013038365555921,2.709665379375211,8.526016898737243,249.51253263572977,2.838349197918788,13.958571046035143,63335607.4065236,16.188345669183878,34.50864604239506,86.32346093232596,2014-08-17
1014.1474660935309,126.43890380859375,4.5870996093750005,7.091924743652346,2.703931402975949,8.526278574010501,249.52895646890116,2.8343066930433163,13.94445402343771,63543259.5242263,16.172209653151178,34.486479248073245,86.27597813786508,2014-08-18
1014.2974672931357,127.84214976230095,4.638008220350082,7.170632438837612,2.6981759745485645,8.526535224286096,249.54508829048808,2.830297436351138,13.930920884060578,63751365.01821287,16.15581897299539,34.46391844728909,86.22699590976295,2014-08-19
1014.4487579013332,129.24198250728858,4.688793002915453,7.249148688046647,2.692399054110267,8.526786898146929,249.56093067019805,2.826321587689286,13.917942647355725,63959924.38288165,16.13917586332164,34.4409650273893,86.17649224971748,2014-08-20
1014.6012793086419,130.6381744963087,4.739445701843795,7.327460728214365,2.6866006016782658,8.527033644175903,249.57648617773873,2.8223793069047973,13.905490332775116,64168938.11263097,16.122282558735055,34.41762037572059,86.12444515942654,2014-08-21
1014.7549729055802,132.03049818211323,4.789958061907799,7.4055557962756815,2.68078057726977,8.527275510955917,249.5917573828179,2.8184707538447054,13.893534959770738,64378406.70185914,16.105141293840756,34.39388587962963,86.07083264058802,2014-08-22
1014.9097800826667,133.41872601745428,4.840321827880148,7.483421129165516,2.6749389409019892,8.527512547069877,249.6067468551429,2.8145960883560464,13.882047547794555,64588330.6449645,16.08775430324387,34.36976292646314,86.01563269489984,2014-08-23
1015.0656422304197,134.8026304550838,4.890528744533527,7.561043963818786,2.6690756525921318,8.527744801100681,249.62145716442177,2.8107554702858555,13.870999116298549,64798710.43634534,16.070123821549522,34.345252903567804,85.95882332405989,2014-08-24
1015.222500739358,136.18198394775388,4.940570556640624,7.638411537170411,2.663190672357407,8.527972321631232,249.635890880362,2.806949059481166,13.860360684734692,65009546.570400015,16.052252083362838,34.320357198290324,85.90038252976605,2014-08-25
1015.3802969999999,137.55655894821655,4.990439008974126,7.715511086155305,2.6572839602150244,8.528195157244433,249.6500505726713,2.8031770157890152,13.850103272554955,65220839.54152682,16.034141323288935,34.295077197977406,85.8402883137162,2014-08-26
1015.5389724028641,138.9261279092238,5.040125846306715,7.792329847708388,2.651355476182193,8.528413356523183,249.66393881105728,2.7994394990564366,13.840197899211319,65432589.8441241,16.01579377593294,34.26941428997574,85.77851867760829,2014-08-27
1015.6984683384691,140.29046328352769,5.089622813411081,7.868855058764578,2.6454051802761223,8.528626968050386,249.6775581652275,2.7957366691304664,13.830615584155755,65644797.97259015,15.997211675899981,34.24336986163203,85.71505162314016,2014-08-28
1015.8587261973332,141.6493375238802,5.138921655059903,7.945073956258792,2.6394330325140203,8.52883604040894,249.6909112048899,2.7920686858581383,13.821327346840235,65857464.421323314,15.978397257795182,34.21694530029297,85.64986515200972,2014-08-29
1016.0196873699753,143.0025230830334,5.188014116025876,8.020973777125947,2.6334389929130975,8.529040622181752,249.70400049975194,2.7884357090864884,13.812304206716739,66070589.6847219,15.959352756223662,34.19014199330526,85.58293726591486,2014-08-30
1016.1812932469135,144.34979241373932,5.236891941081678,8.096541758300958,2.6274230214905625,8.52924076195172,249.71682861952138,2.784837898662552,13.803517183237242,66284174.25718425,15.940080405790551,34.1629613280156,85.5142459665535,2014-08-31
1016.3434852186666,145.69091796874997,5.285546875,8.17176513671875,2.621385078263624,8.529436508301744,249.72939813390585,2.7812754144333636,13.79493729585371,66498218.63310867,15.92058244110097,34.13540469177069,85.44376925562351,2014-09-01
1016.5062046757531,147.02567220081738,5.333970662553526,8.246631149314236,2.615325123249492,8.529627909814732,249.74171161261285,2.7777484162459585,13.78653556401813,66712723.306893475,15.900861096760043,34.10747347191722,85.37148513482278,2014-09-02
1016.6693930086914,148.3538275626936,5.382155048514942,8.321127033022332,2.6092431164653753,8.529815015073577,249.75377162535028,2.77425706394737,13.778283007182466,66927688.772936985,15.880918607372896,34.079169055801884,85.29737160584922,2014-09-03
1016.832991608,149.67515650713062,5.4300917776569335,8.395240024777962,2.6031390179284823,8.52999787266119,249.76558074182577,2.770801517384636,13.770150644798699,67143115.52563755,15.860757207544655,34.050492830771404,85.22140667040073,2014-09-04
1016.9969418641975,150.98943148688045,5.477772594752187,8.468957361516035,2.5970127876560243,8.530176531160466,249.7771415317469,2.7673819364047905,13.7621094963188,67359004.05939347,15.840379131880438,34.021446184172454,85.14356833017517,2014-09-05
1017.1611851678025,152.29642495469517,5.525189244573388,8.542266280171475,2.590864385665207,8.530351039154308,249.78845656482136,2.763998480854868,13.754130581194744,67575354.86860307,15.819786614985375,33.99203050335175,85.06383458687046,2014-09-06
1017.3256629093333,153.59590936332677,5.572333471893222,8.615154017679199,2.5846937719732432,8.530521445225618,249.7995284107567,2.7606513105819035,13.746184918878505,67792168.44766466,15.798981891464589,33.962247175655975,84.98218344218449,2014-09-07
1017.4903164793086,154.88765716552734,5.619197021484377,8.687607810974121,2.57850090659734,8.530687797957299,249.8103596392608,2.7573405854329325,13.738243528822064,68009445.29097657,15.777967195923203,33.932097588431844,84.89859289781516,2014-09-08
1017.6550872682469,156.17144081404882,5.665771638119534,8.759614896991163,2.5722857495547062,8.530850145932252,249.8209528200412,2.754066465254991,13.730277430477386,68227185.89293712,15.756744762966344,33.901583129026044,84.81304095546037,2014-09-09
1017.8199166666666,157.4470327616433,5.7120490665713834,8.831162512665239,2.5660482608625528,8.531008537733378,249.8313105228056,2.750829109895112,13.722257643296453,68445390.74794464,15.735316827199133,33.87070518478527,84.72550561681798,2014-09-10
1017.9847460650864,158.71420546106276,5.7580210516126105,8.902237894931272,2.559788400538087,8.531163021943577,249.84143531726164,2.747628679200332,13.714155186731237,68664060.35039747,15.713685623226695,33.83946514305624,84.63596488358591,2014-09-11
1018.1495168540247,159.97273136505925,5.8036793380158995,8.972828280724173,2.55350612859852,8.531313647145755,249.8513297731169,2.7444653330176862,13.705941080233709,68883195.19469388,15.691853385654156,33.807864391185625,84.54439675746207,2014-09-12
1018.3141704239999,161.2223829263848,5.8490156705539365,9.042920906978864,2.5472014050610583,8.531460461922808,249.86099646007924,2.7413392311942086,13.69758634325585,69102795.77523223,15.669822349086639,33.77590431652014,84.45077924014431,2014-09-13
1018.4786481655308,162.46293259779145,5.894021793999409,9.112503010630261,2.5408741899429135,8.531603514857643,249.87043794785615,2.7382505335769345,13.68906199524963,69322862.58641084,15.647594748129269,33.743586306406485,84.35509033333057,2014-09-14
1018.6428914691357,163.69415283203125,5.938689453125002,9.181561828613283,2.5345244432612932,8.53174285453316,249.87965680615542,2.7351994000129,13.680339055667027,69543396.12262802,15.625172817387167,33.71091174819134,84.25730803871872,2014-09-15
