M2,M4-Archive,FS1,Belmullet-AMETS,M1,M3,M6,M4,M5,date
1.03,0.0,0.0,0.0,2.1708333333333334,0.0,0.0,0.0,0.0,2001-05-03
1.9663636363636363,0.0,0.0,0.0,3.970833333333333,0.0,0.0,0.0,0.0,2001-05-04
2.3871969696969697,0.0,0.0,0.0,5.4375,0.0,0.0,0.0,0.0,2001-05-05
3.020530303030303,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,2001-05-06
3.3413636363636363,0.0,0.0,0.0,8.195833333333333,0.0,0.0,0.0,0.0,2001-05-07
3.8163636363636364,0.0,0.0,0.0,9.575,0.0,0.0,0.0,0.0,2001-05-08
4.790276679841897,0.0,0.0,0.0,10.896739130434781,0.0,0.0,0.0,0.0,2001-05-09
5.590276679841897,0.0,0.0,0.0,12.367572463768115,0.0,0.0,0.0,0.0,2001-05-10
6.277233201581027,0.0,0.0,0.0,13.622117918313569,0.0,0.0,0.0,0.0,2001-05-11
6.7480665349143605,0.0,0.0,0.0,15.076284584980236,0.0,0.0,0.0,0.0,2001-05-12
7.556762187088274,0.0,0.0,0.0,16.306719367588933,0.0,0.0,0.0,0.0,2001-05-13
8.240095520421606,0.0,0.0,0.0,17.652552700922264,0.0,0.0,0.0,0.0,2001-05-14
9.052595520421606,0.0,0.0,0.0,18.65671936758893,0.0,0.0,0.0,0.0,2001-05-15
9.629868247694334,0.0,0.0,0.0,20.961067193675888,0.0,0.0,0.0,0.0,2001-05-16
11.54725955204216,0.0,0.0,0.0,23.513241106719367,0.0,0.0,0.0,0.0,2001-05-17
12.57225955204216,0.0,0.0,0.0,25.179907773386034,0.0,0.0,0.0,0.0,2001-05-18
13.07225955204216,0.0,0.0,0.0,26.438241106719367,0.0,0.0,0.0,0.0,2001-05-19
13.38475955204216,0.0,0.0,0.0,27.4340744400527,0.0,0.0,0.0,0.0,2001-05-20
13.60975955204216,0.0,0.0,0.0,28.754907773386034,0.0,0.0,0.0,0.0,2001-05-21
13.863926218708826,0.0,0.0,0.0,30.113241106719368,0.0,0.0,0.0,0.0,2001-05-22
14.143092885375493,0.0,0.0,0.0,31.10074110671937,0.0,0.0,0.0,0.0,2001-05-23
14.43475955204216,0.0,0.0,0.0,32.58255928853755,0.0,0.0,0.0,0.0,2001-05-24
15.097259552042159,0.0,0.0,0.0,34.3477766798419,0.0,0.0,0.0,0.0,2001-05-25
15.968092885375492,0.0,0.0,0.0,35.899950592885375,0.0,0.0,0.0,0.0,2001-05-26
16.84725955204216,0.0,0.0,0.0,37.59995059288538,0.0,0.0,0.0,0.0,2001-05-27
18.163926218708827,0.0,0.0,0.0,39.91245059288538,0.0,0.0,0.0,0.0,2001-05-28
19.163926218708827,0.0,0.0,0.0,41.69505928853755,0.0,0.0,0.0,0.0,2001-05-29
19.955592885375495,0.0,0.0,0.0,43.13672595520422,0.0,0.0,0.0,0.0,2001-05-30
20.872259552042163,0.0,0.0,0.0,44.77422595520422,0.0,0.0,0.0,0.0,2001-05-31
21.88892621870883,0.0,0.0,0.0,47.01172595520422,0.0,0.0,0.0,0.0,2001-06-01
23.672259552042163,0.0,0.0,0.0,49.51589262187089,0.0,0.0,0.0,0.0,2001-06-02
24.697259552042162,0.0,0.0,0.0,51.120059288537554,0.0,0.0,0.0,0.0,2001-06-03
25.205592885375495,0.0,0.0,0.0,52.370059288537554,0.0,0.0,0.0,0.0,2001-06-04
25.61428853754941,0.0,0.0,0.0,53.84832015810277,0.0,0.0,0.0,0.0,2001-06-05
26.547621870882743,0.0,0.0,0.0,55.731653491436106,0.0,0.0,0.0,0.0,2001-06-06
27.55178853754941,0.0,0.0,0.0,57.885820158102774,0.0,0.0,0.0,0.0,2001-06-07
28.50178853754941,0.0,0.0,0.0,59.881653491436104,0.0,0.0,0.0,0.0,2001-06-08
29.243455204216076,0.0,0.0,0.0,61.71498682476944,0.0,0.0,0.0,0.0,2001-06-09
30.076788537549408,0.0,0.0,0.0,63.12332015810277,0.0,0.0,0.0,0.0,2001-06-10
30.589288537549407,0.0,0.0,0.0,64.13582015810277,0.0,0.0,0.0,0.0,2001-06-11
30.993455204216072,0.0,0.0,0.0,65.51498682476944,0.0,0.0,0.0,0.0,2001-06-12
31.328237812911723,0.0,0.0,0.0,67.07150856389987,0.0,0.0,0.0,0.0,2001-06-13
31.874071146245058,0.0,0.0,0.0,68.72567523056654,0.0,0.0,0.0,0.0,2001-06-14
32.84798418972332,0.0,0.0,0.0,71.09089262187088,0.0,0.0,0.0,0.0,2001-06-15
34.03548418972332,0.0,0.0,0.0,73.12422595520421,0.0,0.0,0.0,0.0,2001-06-16
34.93113636363636,0.0,0.0,0.0,74.4155303030303,0.0,0.0,0.0,0.0,2001-06-17
35.626969696969695,0.0,0.0,0.0,76.2405303030303,0.0,0.0,0.0,0.0,2001-06-18
37.185303030303025,0.0,0.0,0.0,79.4905303030303,0.0,0.0,0.0,0.0,2001-06-19
38.16446969696969,0.0,0.0,0.0,81.7405303030303,0.0,0.0,0.0,0.0,2001-06-20
38.793041125541116,0.0,0.0,0.0,83.64507575757575,0.0,0.0,0.0,0.0,2001-06-21
39.255541125541114,0.0,0.0,0.0,84.82840909090909,0.0,0.0,0.0,0.0,2001-06-22
39.663874458874446,0.0,0.0,0.0,86.0409090909091,0.0,0.0,0.0,0.0,2001-06-23
40.32637445887445,0.0,0.0,0.0,87.60757575757576,0.0,0.0,0.0,0.0,2001-06-24
40.75970779220778,0.0,0.0,0.0,89.31590909090909,0.0,0.0,0.0,0.0,2001-06-25
